Time (Ga),T (K)
0,286.7910448
0.082389289,286.3432836
0.181256437,285.8208955
0.259526262,285.4477612
0.346035015,285.2985075
0.449021627,285.3731343
0.539649846,286.0447761
0.61791967,286.7910448
0.708547889,287.3134328
0.811534501,287.4626866
0.914521112,287.3134328
1.021627188,287.0895522
1.145211123,286.641791
1.285272915,286.0447761
1.487126674,285.2985075
1.664263646,284.6268657
1.820803296,284.1044776
1.919670443,283.9552239
2.039134912,284.1044776
2.179196704,284.4776119
2.335736354,285.2985075
2.484037075,286.3432836
2.665293512,287.6119403
2.834191555,288.8059701
3.007209063,290
3.130792997,290.4477612
3.279093718,290.8208955
3.415036045,290.8955224
3.567456231,291.119403
3.732234809,291.4179104
3.868177137,291.7164179
4,292.0895522