Time (Ga),Seaf (Tmol/yr)
0,0.461540817
0.031657261,0.461132599
0.058971248,0.454841739
0.102986578,0.42850537
0.146991651,0.427941203
0.190882464,0.407809199
0.235001796,0.426812867
0.279006868,0.4262487
0.323011941,0.425684532
0.367017013,0.425120365
0.411014626,0.443299616
0.455000116,0.491936924
0.498993765,0.520073618
0.542994408,0.530638355
0.586991088,0.551160534
0.630987768,0.571682714
0.674979785,0.60391953
0.718972735,0.633813419
0.762970348,0.65199267
0.806967028,0.67251485
0.850970235,0.676636537
0.894975308,0.676072369
0.938971988,0.696594548
0.985770784,0.635258986
1.0269812,0.697809141
1.07098534,0.6995879
1.114990413,0.699023733
1.158995485,0.698459565
1.203000558,0.697895398
1.24700563,0.69733123
1.291010703,0.696767062
1.335015776,0.696202895
1.379020848,0.695638727
1.423025921,0.69507456
1.467030993,0.694510392
1.511037931,0.68926037
1.555038341,0.700410839
1.599035953,0.718590091
1.643041026,0.718025923
1.687045166,0.719804683
1.731040913,0.74266979
1.775045986,0.742105622
1.819047328,0.750913164
1.863045873,0.766749488
1.907045351,0.780242885
1.951044828,0.793736282
1.995982696,0.769010104
2.039036323,0.839466495
2.083030206,0.867017457
2.127023155,0.896911345
2.17101424,0.931491089
2.21499973,0.980128397
2.258986153,1.026422778
2.302972575,1.072717159
2.346954335,1.130726176
2.390933297,1.195763976
2.434913192,1.258458849
2.480572612,1.289307588
2.522864589,1.404934941
2.566835159,1.491059088
2.610802931,1.584212017
2.654768838,1.682050801
2.698718893,1.819719351
2.742676407,1.938644481
2.786632989,2.059912539
2.830586774,2.18820938
2.874536828,2.32587793
2.91848595,2.465889407
2.96243414,2.608243812
3.006385127,2.743569434
3.050339844,2.869523347
3.094289899,3.007191897
3.138243683,3.135488737
3.182192805,3.275500215
3.226141927,3.415511692
3.270098509,3.53677975
3.314047631,3.676791227
3.357986496,3.842574906
3.401930023,3.996643948
3.445870752,4.157741772
3.489808684,4.325868378
3.533741021,4.508052549
3.577671493,4.694922575
3.62160585,4.872030403
3.666392209,5.062292262
3.710394868,5.278949858
3.753358411,5.530262456
3.797233865,5.855365199
3.841091135,6.226155027
3.884925092,6.65551804
3.928739933,7.132911065
3.971581479,7.662585897
3.99836381,8.097299621