Mineral,A_acid,log10(k_acid),E_acid,n_acid,A_neut,log10(k_neut),E_neut,A_base,log10(k_base),E_base,n_base
,(mol/m2/s),(mol/m2/s),(kJ/mol),,(mol/m2/s),(mol/m2/s),(kJ/mol),(mol/m2/s),(mol/m2/s),(kJ/mol),
quartz,,,,,276,-13.34,90.1,10,-16.29,108.366,-0.5
amorphous SiO2,,,,,10.1,-12.31,76,,,,
albite,,-10.16,65,0.457,,-12.56,69.8,,-15.6,71,-0.572
oligoclase,,-9.67,65,0.457,,-11.84,69.8,,,,
andesine,,-8.88,53.5,0.541,,-11.47,57.4,,,,
labradorite,,-7.87,42.1,0.626,,-10.91,45.2,,,,
bytownite,,-5.85,29.3,1.018,,-9.82,31.5,,,,
anorthite,,-3.5,16.6,1.411,,-9.12,17.8,,,,
K-feldspar,,-10.06,51.7,0.5,,-12.41,38,,-21.2,94.1,-0.823
forsterite,,-6.85,67.2,0.47,,-10.64,79,,,,
fayalite,,-4.8,94.4,1,,-12.8,94.4,,,,
enstatite,,-9.02,80,0.6,,-12.72,80,,,,
diopside,,-6.36,96.1,0.71,,-11.11,40.6,,,,
wollastonite,,-5.37,54.7,0.4,,-8.88,54.7,,,,
jadeite,,-6,132.2,0.7,,-9.5,94.4,,,,
anthophyllite,,-11.94,51,0.44,,-14.24,51,,,,
hornblende,,-7,75.5,0.6,,-10.3,94.4,,,,
tremolite,,-8.4,18.9,0.7,,-10.6,94.4,,,,
biotite,,-9.84,22,0.525,,-12.55,22,,,,
muscovite,,-11.85,22,0.37,,-13.55,22,,-14.55,22,-0.22
phlogopite,,,,,,-12.4,29,,,,
kaolinite,,-11.31,65.9,0.777,,-13.18,22.2,,-17.05,17.9,-0.472
clinochlorite,,-11.11,88,0.5,,-12.5,88,,,,